building_id,category
0,Dummy
1,Dummy
2,Dummy
3,Dummy
4,Dummy
5,Dummy
6,Dummy
7,Dummy
8,Dummy
9,Dummy
10,Dummy
11,Dummy
12,Dummy
13,Dummy
14,Dummy
15,Dummy
16,Dummy
17,Dummy
18,Dummy
19,Dummy
20,Dummy
21,Dummy
22,Dummy
23,Dummy
24,Dummy
25,Dummy
26,Dummy
27,Dummy
28,Dummy
29,Dummy
30,Dummy
31,Dummy
32,Dummy
33,Dummy
34,Dummy
35,Dummy
36,Dummy
37,Dummy
38,Dummy
39,Dummy
40,Dummy
41,Dummy
42,Dummy
43,Dummy
44,Dummy
45,Dummy
46,Dummy
47,Dummy
48,Dummy
49,Dummy
50,Dummy
51,Dummy
52,Dummy
53,Dummy
54,Dummy
55,Dummy
56,Dummy
57,Dummy
58,Dummy
59,Dummy
60,Dummy
61,Dummy
62,Dummy
63,Dummy
64,Dummy
65,Dummy
66,Dummy
67,Dummy
68,Dummy
69,Dummy
70,Dummy
71,Dummy
72,Dummy
73,Dummy
74,Dummy
75,Dummy
76,Dummy
77,Dummy
78,Dummy
79,Dummy
80,Dummy
81,Dummy
82,Dummy
83,Dummy
84,Dummy
85,Dummy
86,Dummy
87,Dummy
88,Dummy
89,Dummy
90,Dummy
91,Dummy
92,Dummy
93,Dummy
94,Dummy
95,Dummy
96,Dummy
97,Dummy
98,Dummy
99,Dummy
100,Dummy
101,Dummy
102,Dummy
103,Dummy
104,Dummy
105,Dummy
106,Dummy
107,Dummy
108,Dummy
109,Dummy
110,Dummy
111,Dummy
112,Dummy
113,Dummy
114,Dummy
115,Dummy
116,Dummy
117,Dummy
118,Dummy
119,Dummy
120,Dummy
121,Dummy
122,Dummy
123,Dummy
124,Dummy
125,Dummy
126,Dummy
127,Dummy
128,Dummy
129,Dummy
130,Dummy
131,Dummy
132,Dummy
133,Dummy
134,Dummy
135,Dummy
136,Dummy
137,Dummy
138,Dummy
139,Dummy
140,Dummy
141,Dummy
142,Dummy
143,Dummy
144,Dummy
145,Dummy
146,Dummy
147,Dummy
148,Dummy
149,Dummy
150,Dummy
151,Dummy
152,Dummy
153,Dummy
154,Dummy
155,Dummy
156,Dummy
157,Dummy
158,Dummy
159,Dummy
160,Dummy
161,Dummy
162,Dummy
163,Dummy
164,Dummy
165,Dummy
166,Dummy
167,Dummy
168,Dummy
169,Dummy
170,Dummy
171,Dummy
172,Dummy
173,Dummy
174,Dummy
175,Dummy
176,Dummy
177,Dummy
178,Dummy
179,Dummy
180,Dummy
181,Dummy
182,Dummy
183,Dummy
184,Dummy
185,Dummy
186,Dummy
187,Dummy
188,Dummy
189,Dummy
190,Dummy
191,Dummy
192,Dummy
193,Dummy
194,Dummy
195,Dummy
196,Dummy
197,Dummy
198,Dummy
199,Dummy
200,Dummy
201,Dummy
202,Dummy
203,Dummy
204,Dummy
205,Dummy
206,Dummy
207,Dummy
208,Dummy
209,Dummy
210,Dummy
211,Dummy
212,Dummy
213,Dummy
214,Dummy
215,Dummy
216,Dummy
217,Dummy
218,Dummy
219,Dummy
220,Dummy
221,Dummy
222,Dummy
223,Dummy
224,Dummy
225,Dummy
